Temperature,Voltage
31,4.9
35,4.9
37,4.9
26,4.9
26,4.9
48,4.9
48,4.9
30,4.9
27,4.9
47,4.9
38,4.9
40,4.9
32,4.9
36,4.9
42,4.9
34,4.8
41,4.8
47,4.8
34,4.8
32,4.8
44,4.8
35,4.8
35,4.8
38,4.8
34,4.8
35,4.8
47,4.8
32,5
44,5
34,5
34,5
35,5
41,5
31,5
44,5
41,5
44,5
46,5
40,5
40,5
43,5
34,5
41,5
41,5
48,5
44,5
37,5
36,5
29,5
40,5
39,5
33,5
48,5
37,5
27,5
37,5.3
35,5.3
47,5.3
32,5.3
46,5.3
45,5.3
48,5.3
26,5.3
47,5.3
42,5.3
25,5.3
44,5.3
45,5.3
41,5.3
31,5.3
41,5.3
40,5.3
44,5.3
30,5.3
40,5.3
40,5.3
26,5.3
35,5.3
38,5.3
35,5.3
46,5.4
34,5.4
42,5.4
41,5.4
32,5.4
47,5.4
42,5.4
29,5.4
39,5.4
29,5.4
48,5.4
37,5.4
32,5.4
47,5.4
33,5.4
36,5.4
41,5.4
45,5.4
28,5.4
47,5.4
45,5.4
34,5.4
46,5.4
36,5.4
26,5.4
37,5.4
30,5.4
47,5.4
33,5.4
48,5.4
40,5.4
30,5.4
34,5.4
42,5.4
28,5.4
45,5.4
36,5.4
32,5.4
36,5.4
25,5.4
42,5.4
36,5.4
39,5.4
28,5.4
41,5.4
25,5.4
25,5.4
46,5.4
47,5.4
46,5.4
48,5.4
27,5.4
39,5.4
32,5.4
28,5.4
46,5.4
39,5.4
34,5.4
36,5.4
48,5.4
30,5.4
30,5.4
35,5.4
28,5.4
41,5.4
46,5.4
48,5.4
29,5.4
33,5.4
38,5.4
48,5.4
40,5.4
45,5.4
34,5.4
32,5.4
46,5.4
32,5.4
30,5.4
28,5.4
46,5.4
28,5.4
25,5.4
48,5.4
34,5.4
37,5.4
30,5.4
39,5.4
47,5.4
36,5.4
29,5.4
30,5.4
48,5.4
41,5.4
46,5.4
41,5.4
38,5.4
33,5.4
37,5.4
45,5.4
28,5.4
31,5.4
47,5.4
39,5.4
47,5.4
43,5.4
47,5.4
33,5.4
34,5.6
40,5.6
32,5.6
35,5.6
31,5.6
39,5.6
37,5.6
25,5.6
37,5.6
32,5.6
34,5.6
37,5.6
40,5.6
30,5.6
46,5.6
30,5.6
31,5.6
31,5.6
38,5.6
44,5.6
43,5.6
27,5.6
28,5.6
29,5.6
47,5.6
35,5.6
33,5.6
26,5.6
46,5.6
30,5.6
45,5.6
29,5.6
34,5.6
42,5.6
25,5.6
30,5.6
26,5.6
41,5.6
47,5.6
29,5.6
47,5.6
28,5.6
45,5.6
28,5.6
42,5.6
27,5.6
41,5.6
47,5.6
39,5.6
39,5.6
28,5.6
25,5.6
27,5.6
45,5.6
45,5.6
46,5.6
32,5.6
33,5.6
46,5.6
44,5.6
29,5.6
46,5.6
38,5.6
44,5.6
41,5.6
39,5.6
25,5.6
43,5.6
37,5.6
29,5.6
26,5.6
47,5.6
27,5.6
31,5.6
39,5.6
44,5.6
28,5.6
40,5.6
32,5.6
30,5.6
34,5.6
28,5.6
45,5.6
40,5.6
31,5.6
47,5.6
46,5.6
28,5.6
43,5.6
37,5.6
28,5.6
25,5.6
38,5.6
47,5.6
40,5.6
39,5.6
40,5.6
41,5.6
48,5.6
29,5.6
27,5.6
31,5.6
26,5.6
44,5.6
32,5.6
37,5.6
29,5.6
40,5.6
33,5.6
25,5.6
29,5.6
47,5.6
43,5.6
34,5.6
27,5.6
45,5.6
46,5.6
32,5.6
44,5.6
39,5.6
40,5.6
48,5.6
45,5.6
30,5.6
39,5.6
30,5.6
45,5.6
27,5.6
39,5.6
39,5.6
48,5.6
44,5.6
32,5.6
42,5.6
33,5.6
45,5.6
37,5.6
46,5.6
36,5.2
47,5.2
25,5.2
32,5.2
36,5.2
32,5.2
41,5.2
28,5.2
27,5.2
29,5.2
46,5.2
25,5.2
26,5.2
29,5.2
41,5.2
34,5.2
29,5.2
34,5.2
38,5.2
32,5.2
34,5.2
34,5.2
41,5.2
32,5.2
45,5.2
38,5.2
48,5.2
30,5.2
42,5.2
42,5.2
27,5.2
39,5.2
37,5.2
38,5.2
37,5.2
43,5.2
38,5.2
37,5.2
29,5.2
37,5.2
42,5.2
28,5.2
32,5.2
28,5.2
36,5.2
44,5.2
31,5.2
38,5.2
44,5.2
41,5.2
34,5.2
38,5.2
28,5.2
35,5.2
28,5.2
38,5.2
28,5.2
45,5.2
35,5.2
37,5.2
30,5.2
29,5.2
34,5.2
40,5.2
32,5.2
40,5.2
26,5.2
48,5.2
42,5.2
35,5.2
27,5.2
43,5.2
43,5.2
41,5.2
48,5.2
28,5.2
35,5.2
42,5.2
37,5.2
47,5.2
43,5.2
38,5.2
30,5.2
46,5.2
48,5.2
29,5.2
40,5.2
29,5.2
33,5.2
39,5.2
26,5.2
46,5.2
40,5.2
41,5.2
30,5.2
42,5.2
47,5.2
32,5.2
46,5.2
28,5.2
29,5.2
44,5.2
45,5.2
30,5.2
42,5.2
26,5.2
31,5.2
25,5.2
40,5.2
40,5.2
46,5.2
38,5.2
43,5.2
46,5.2
33,5.2
34,5.2
35,5.2
44,5.2
32,5.2
44,5.2
35,5.2
33,5.2
39,5.2
39,5.2
42,5.2
35,5.2
33,5.2
