Temperature,Vibration,Altitude
25,7,200
45,14,300
45,22,400
49,15,500
38,15,600
60,13,700
66,13,800
67,5,900
26,17,1000
29,25,1100
39,13,1200
53,13,1300
54,23,1400
45,22,1500
25,17,1600
30,7,1700
58,7,1800
29,10,1900
61,13,2000
58,9,2100
56,11,2200
33,9,2300
40,14,2400
68,15,2500
66,5,2600
41,23,2700
56,16,2800
62,6,2900
63,25,3000
59,17,3100
29,16,3200
56,13,3300
60,13,3400
61,24,3500
37,24,3600
53,9,3700
59,12,3800
38,20,3900
53,13,4000
30,23,4100
42,17,4200
30,24,4300
58,5,4400
55,19,4500
64,16,4600
50,24,4700
63,17,4800
31,25,4900
52,23,5000
64,12,5100
47,12,5200
52,8,5300
61,10,5400
60,10,5500
60,22,5600
36,9,5700
50,17,5800
65,23,5900
48,25,6000
34,12,6100
42,23,6200
41,11,6300
70,25,6400
65,12,6500
66,23,6600
64,20,6700
45,17,6800
54,9,6900
60,20,7000
68,15,7100
43,11,7200
61,12,7300
60,16,7400
62,11,7500
57,5,7600
57,21,7700
38,13,7800
46,15,7900
51,10,8000
36,6,8100
64,24,8200
51,12,8300
49,9,8400
55,19,8500
62,20,8600
47,19,8700
59,13,8800
33,17,8900
64,7,9000
43,25,9100
28,14,9200
33,13,9300
58,8,9400
42,21,9500
25,25,9600
53,7,9700
59,9,9800
41,16,9900
28,6,10000
45,25,10100
47,10,10200
29,19,10300
60,11,10400
54,17,10500
33,6,10600
45,23,10700
61,11,10800
43,7,10900
29,24,11000
29,7,11100
68,11,11200
51,12,11300
31,16,11400
26,16,11500
54,11,11600
28,10,11700
46,14,11800
47,13,11900
66,22,12000
59,18,12100
37,25,12200
67,18,12300
38,16,12400
27,13,12500
65,25,12600
59,16,12700
41,6,12800
31,6,12900
51,8,13000
48,8,13100
54,21,13200
54,9,13300
48,8,13400
31,22,13500
62,6,13600
25,20,13700
28,10,13800
59,15,13900
68,19,14000
41,17,14100
68,10,14200
43,6,14300
34,6,14400
54,5,14500
50,20,14600
44,7,14700
68,24,14800
38,13,14900
43,10,15000
48,12,15100
59,7,15200
69,10,15300
26,11,15400
69,21,15500
55,10,15600
27,18,15700
31,19,15800
32,10,15900
39,14,16000
27,15,16100
27,7,16200
30,23,16300
27,25,16400
44,19,16500
37,13,16600
62,16,16700
51,9,16800
56,6,16900
30,5,17000
66,23,17100
26,14,17200
57,14,17300
63,5,17400
46,18,17500
58,10,17600
60,23,17700
53,17,17800
66,9,17900
25,7,18000
45,16,18100
58,24,18200
67,7,18300
61,11,18400
53,9,18500
38,18,18600
53,20,18700
52,6,18800
26,5,18900
70,13,19000
29,13,19100
33,20,19200
63,23,19300
61,5,19400
54,20,19500
65,21,19600
52,7,19700
40,16,19800
64,18,19900
29,25,20000
54,25,20100
60,6,20200
70,6,20300
63,10,20400
33,21,20500
66,13,20600
69,18,20700
52,18,20800
60,16,20900
52,13,21000
32,9,21100
66,12,21200
29,11,21300
29,25,21400
29,5,21500
36,13,21600
38,6,21700
68,11,21800
41,24,21900
41,10,22000
62,10,22100
63,20,22200
59,8,22300
63,20,22400
50,8,22500
69,5,22600
53,18,22700
56,11,22800
70,10,22900
41,8,23000
43,25,23100
43,18,23200
54,18,23300
34,5,23400
36,18,23500
37,12,23600
70,18,23700
64,18,23800
59,24,23900
59,25,24000
38,16,24100
50,24,24200
56,8,24300
51,5,24400
52,24,24500
48,6,24600
48,16,24700
63,11,24800
38,15,24900
51,25,25000
31,9,25100
52,21,25200
34,19,25300
64,20,25400
39,10,25500
66,25,25600
26,19,25700
50,21,25800
42,19,25900
51,12,26000
34,15,26100
62,21,26200
68,6,26300
66,11,26400
44,19,26500
61,11,26600
64,24,26700
39,15,26800
54,7,26900
29,11,27000
52,21,27100
28,20,27200
67,23,27300
41,15,27400
27,5,27500
64,25,27600
57,8,27700
43,19,27800
61,21,27900
38,25,28000
66,17,28100
54,6,28200
28,23,28300
29,8,28400
49,17,28500
60,8,28600
36,20,28700
41,21,28800
40,8,28900
35,12,29000
26,21,29100
39,17,29200
40,10,29300
63,12,29400
41,6,29500
38,18,29600
52,18,29700
41,23,29800
62,23,29900
34,25,30000
31,16,30100
32,15,30200
49,15,30300
45,17,30400
68,11,30500
56,22,30600
45,14,30700
48,5,30800
32,25,30900
