Temperature,Voltage
18,5
36,5
1,5
19,5
28,5
5,5
2,5
56,5
29,5
4,5
17,5
14,5
43,5
20,5
55,5
7,5
11,5
54,5
16,5
2,5
58,5
54,5
12,5
11,5
21,5
26,5
57,5
6,5
8,5
30,5
20,5
35,5
57,5
32,5
51,5
2,5
58,5
46,5
1,5
24,5
33,5
28,5
25,5
28,5
35,5
50,5
25,5
51,5
14,5
59,5
8,5
7,5
60,5
43,5
58,5
28,5
53,5
46,5
1,5
43,5
9,5
18,5
44,5
18,5
12,5
1,5
37,5
10,5
35,5
45,5
52,5
47,5
28,5
58,5
54,5
27,5
52,5
53,5
33,5
4,5
12,5
14,5
17,5
17,5
45,5
51,5
14,5
31,5
22,5
14,5
8,5
31,5
58,5
56,5
9,5
15,5
8,5
38,5
9,5
56,5
19,5
52,5
59,5
45,5
5,5
48,5
21,5
36,5
43,5
40,5
20,5
40,5
5,5
40,5
30,5
49,5
45,5
38,5
29,5
30,5
9,5
37,5
40,5
19,5
47,5
26,5
48,5
59,5
18,5
34,5
40,5
7,5
21,5
17,5
37,5
14,5
39,5
29,5
21,5
44,5
44,5
8,5
2,5
20,5
36,5
40,5
24,5
60,5
22,5
7,5
8,5
44,5
47,5
40,5
53,5
46,5
53,5
51,5
18,5
43,5
51,5
38,5
44,5
26,5
10,5
35,5
38,5
20,5
2,5
2,5
31,5
58,5
38,5
58,5
47,5
14,5
60,5
59,5
57,5
59,5
39,5
48,5
31,5
32,5
54,5
47,5
41,5
26,5
39,5
45,5
54,5
40,5
2,5
34,5
57,5
59,5
21,5
41,5
38,5
25,5
28,5
35,5
29,5
35,5
20,5
10,5
37,5
15,5
22,5
4,5
6,5
12,5
9,5
18,5
54,5
50,5
16,5
38,5
12,5
6,5
57,5
28,5
4,5
51,5
14,5
25,5
10,5
35,5
5,5
40,5
40,5
47,5
26,5
22,5
42,5
28,5
48,5
34,5
31,5
24,5
10,5
51,5
26,5
47,5
17,5
9,5
27,5
7,5
11,5
44,5
2,5
6,5
17,5
32,5
33,5
7,5
52,5
16,5
27,5
55,5
51,5
23,5
7,5
18,5
60,5
54,5
44,5
41,5
47,5
47,5
45,5
50,5
56,5
47,5
4,5
36,5
10,5
22,5
58,5
1,5
16,5
21,5
27,5
40,5
4,5
56,5
26,5
51,5
9,5
60,5
8,5
43,5
30,5
2,5
16,5
3,5
16,5
2,5
38,5
2,5
9,5
22,5
18,5
16,5
21,5
43,5
38,5
41,5
18,5
19,5
15,5
23,5
19,5
53,5
49,5
24,5
10,5
31,5
28,5
16,5
11,5
48,5
22,5
54,5
45,5
22,5
52,5
45,5
48,5
24,5
15,5
50,5
10,5
51,5
55,5
36,5
14,5
21,5
5,5
46,5
2,5
30,5
32,5
30,5
55,5
18,5
52,5
7,5
16,5
34,5
51,5
35,5
43,5
14,5
12,5
7,5
49,5
56,5
20,5
40,5
21,5
36,5
60,5
19,5
13,5
57,5
39,5
25,5
27,5
43,5
41,5
48,5
56,5
37,5
10,5
30,5
5,5
4,5
5,5
49,5
41,5
9,5
27,5
60,5
50,5
34,5
16,5
19,5
29,5
59,5
9,5
26,5
13,5
39,5
12,5
27,5
16,5
50,5
13,5
18,5
53,5
24,5
28,5
1,5
51,5
19,5
31,5
45,5
39,5
11,5
57,5
49,5
30,5
16,5
31,5
46,5
4,5
10,5
45,5
24,5
1,5
23,5
47,5
21,5
21,5
27,5
40,5
14,5
52,5
51,5
32,5
35,5
13,5
33,5
36,5
32,5
40,5
2,5
46,5
54,5
41,5
24,5
16,5
56,5
9,5
31,5
23,5
59,5
40,5
58,5
16,5
60,5
7,5
50,5
44,5
56,5
13,5
45,5
42,5
42,5
43,5
34,5
33,5
19,5
26,5
7,5
38,5
39,5
13,5
38,5
3,5
46,5
53,5
21,5
15,5
42,5
16,5
18,5
51,5
33,5
41,5
57,5
55,5
37,5
59,5
49,5
50,5
40,5
46,5
9,5
27,5
41,5
24,5
37,5
9,5
25,5
37,5
10,5
8,5
40,5
