Temperature,Voltage,Frequency
52,5,80
40,5,80
62,5,80
30,5,80
34,5,80
47,5,80
42,5,80
63,5,80
56,5,80
39,5,80
51,5,80
35,5,80
55,5,80
44,5,80
52,5,80
35,5,80
64,5,75
33,5,75
62,4.95,75
51,4.95,75
59,4.95,75
36,4.95,75
43,4.95,75
57,4.95,75
56,4.95,75
50,4.95,75
39,4.95,75
63,4.95,75
42,4.95,75
45,4.95,75
46,4.95,75
34,4.95,75
48,4.95,83
50,5,83
55,5,83
54,5,83
40,5,83
31,5,83
51,5,83
65,5,83
41,5,83
35,5,83
57,5,83
60,5,83
32,5,83
54,5,80
35,5,80
33,5,80
41,5,80
42,5,80
48,5,80
39,5,80
62,5,80
65,5,80
58,5,80
40,5,80
52,5,80
53,5,80
56,5,80
45,5,80
60,5,80
64,5,80
57,5.1,80
44,5.1,80
51,5.1,65
47,5.1,65
37,5.1,65
59,5.1,65
38,5.1,65
30,5.1,65
34,5.1,65
55,5.1,58
31,5.1,58
63,5.1,58
36,5.1,58
46,5.1,58
32,5.1,58
49,5.1,58
50,5.1,58
61,5.1,58
43,5.1,58
