Temperature,Voltage
1,5
34,5
52,5
30,5
57,5
39,5
50,5
31,5
50,5
34,5.1
49,5.1
55,5.1
52,5.1
47,5.1
58,5.1
40,5.1
61,5.1
39,5.1
36,5.1
36,5.1
48,5.1
47,5
53,5
62,5
30,5
36,5
38,5
34,5
39,5
37,5
57,5
35,5.3
63,5.3
54,5.3
60,5.3
63,5.3
30,5.3
37,5.3
37,5.3
50,5.3
39,5.3
39,5.3
47,5.5
53,5.5
54,5.5
33,5.5
55,5.5
44,5.5
42,5.5
33,5.5
37,5.5
34,5.5
40,5.5
57,5.5
43,5.5
41,5.5
39,5.5
37,5.5
36,5.5
45,5.5
42,5.5
55,5.5
57,5.5
31,5.5
47,5.5
42,5.5
33,5.5
33,5.1
35,5.1
42,5.1
35,5.1
58,5.1
49,5.1
30,5.1
55,5.1
35,5.1
31,5.1
37,5.1
53,5.1
42,5.1
