Temperature,Voltage
59,4.5
44,4.5
61,4.5
36,4.5
57,4.5
50,4.5
65,4.5
36,4.5
40,4.5
59,4.5
30,4.5
52,4.5
39,4.5
48,4.5
49,4.5
34,4.5
48,4.5
62,4.5
30,4.8
36,4.8
61,4.8
54,4.8
38,4.8
60,4.8
40,4.8
44,4.8
54,4.8
41,4.8
34,4.8
50,4.8
43,4.8
41,4.8
37,4.8
58,4.8
52,4.8
65,4.8
60,4.8
45,4.8
51,4.8
32,4.8
64,4.8
55,4.8
37,4.8
47,4.8
48,4.8
36,4.8
46,4.8
38,4.8
41,4.8
36,4.8
30,4.8
37,4.8
47,4.8
32,4.8
63,4.8
35,4.8
54,4.8
56,4.8
36,4.8
42,4.8
47,4.8
51,4.8
59,4.8
40,4.8
58,4.8
54,4.8
37,4.8
51,4.8
48,4.8
63,4.8
31,4.8
43,4.8
65,4.8
56,4.8
53,4.8
55,5.2
38,5.2
57,5.2
44,5.2
49,5.2
