Temperature,Voltage
47,4.9
57,4.9
61,4.9
55,4.9
60,4.9
43,4.9
56,4.9
38,4.9
47,4.9
62,4.9
50,4.9
40,4.9
55,4.9
63,4.9
58,4.9
33,4.8
55,4.8
44,4.8
31,4.8
37,4.8
47,4.8
37,4.8
37,4.8
45,4.8
40,4.8
62,4.8
35,4.8
58,5
41,5
38,5
46,5
39,5
48,5
35,5
42,5
41,5
30,5
60,5
43,5
52,5
58,5
64,5
38,5
36,5
59,5
58,5
34,5
41,5
43,5
46,5
45,5
44,5
46,5
59,5
61,5
54,5.3
52,5.3
35,5.3
55,5.3
65,5.3
38,5.3
46,5.3
40,5.3
47,5.3
45,5.3
38,5.3
38,5.3
64,5.3
49,5.3
35,5.3
36,5.3
47,5.3
36,5.3
64,5.3
31,5.3
52,5.3
56,5.3
51,5.3
46,5.3
48,5.3
