Temperature,Voltage,Frequency
63,3.3,146
48,3.3,141
33,3.3,149
40,3.3,148
59,3.3,144
39,3.3,147
61,3.3,143
54,3.3,145
60,3.3,142
36,3.3,142
70,3.3,141
50,3.3,146
56,3.3,144
62,3.3,148
32,3.3,143
55,3.3,149
34,3.3,145
66,3.3,147
68,3.3,143
51,3.4,147
69,3.4,144
52,3.4,148
45,3.4,141
37,3.4,142
35,3.4,146
57,3.4,149
46,3.4,145
44,3.4,143
64,3.4,147
41,3.4,141
53,3.4,149
43,3.4,146
31,3.4,144
47,3.4,145
30,3.4,142
49,3.4,148
65,3.4,147
42,3.4,146
58,3.4,142
38,3.4,145
67,3.4,143
67,3.4,149
44,3.4,148
31,3.4,141
68,3.4,144
52,3.4,141
42,3.4,142
54,3.4,145
63,3.4,143
46,3.4,144
35,3.4,146
37,3.4,147
38,3.4,148
65,3.4,149
40,3.4,146
69,3.3,141
70,3.3,147
51,3.3,149
50,3.3,144
58,3.3,142
60,3.3,143
43,3.3,145
41,3.3,148
66,3.3,148
36,3.3,142
57,3.3,145
59,3.3,147
53,3.3,149
47,3.3,144
64,3.3,143
48,3.3,146
39,3.3,141
32,3.3,147
34,3.3,145
33,3.3,144
61,3.3,141
49,3.3,148
55,3.3,146
45,3.3,143
30,3.3,149
56,3.3,142
62,3.3,149
