Temperature,Voltage,Frequency
41,3.4,438
35,3.4,439
58,3.4,435
42,3.4,433
39,3.4,430
69,3.4,434
68,3.4,432
50,3.4,431
51,3.4,440
36,3.4,436
63,3.4,437
65,3.4,440
45,3.4,430
46,3.4,432
52,3.4,439
40,3.4,435
59,3.4,431
66,3.4,434
70,3.4,436
43,3.4,433
54,3.4,437
57,3.4,438
37,3.4,437
55,3.4,431
67,3.4,436
47,3.4,439
60,3.4,438
53,3.4,430
38,3.4,440
44,3.3,432
61,3.3,433
48,3.3,435
64,3.3,434
56,3.3,438
62,3.3,432
49,3.3,431
48,3.3,434
65,3.3,436
67,3.3,435
41,3.3,430
53,3.3,433
36,3.3,437
38,3.3,440
56,3.3,439
54,3.3,434
62,3.3,437
44,3.3,431
69,3.3,438
45,3.3,440
64,3.3,433
58,3.3,432
39,3.3,436
46,3.4,435
40,3.4,430
59,3.4,439
35,3.4,430
43,3.4,438
49,3.4,440
63,3.4,437
61,3.4,433
42,3.4,434
60,3.4,436
37,3.4,435
52,3.4,431
51,3.4,439
66,3.4,432
70,3.4,436
47,3.4,431
57,3.4,430
68,3.4,437
55,3.4,434
50,3.4,432
,,
,,
,,
,,
,,
