EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
0,2457415.5,41408,6971.022,0,-0.00126,0,4.70963,5.92082,6977.98987,0.001,0.89884,0,0.00014,6.28304,6.28304,0,0,0,0,0,0,1,1
20,2457415.5,41428,6969.37938,94.18518,118.4058,-0.16426,4.70852,5.91942,6977.97905,0.001,0.89884,0,0.02914,6.27576,6.27575,0,136.6,-13,1.1,61.3,0,1,1
40,2457415.5,41448,6964.45231,188.32591,236.75687,-0.32843,4.70519,5.91522,6977.95749,0.00099,0.89884,0,0.05816,6.26847,6.26844,0,134.8,-12.7,2,62,0,1,1
60,2457415.5,41468,6956.24314,282.37785,354.99604,-0.49245,4.69964,5.90823,6977.92519,0.00099,0.89884,0,0.08718,6.26116,6.26112,0,133,-12.5,3,62.7,0,1,1
80,2457415.5,41488,6944.75575,376.29665,473.06743,-0.65624,4.69187,5.89845,6977.88218,0.00098,0.89884,6.28319,0.11624,6.25383,6.25377,0,131.2,-12.3,4,63.3,0,1,1
100,2457415.5,41508,6929.99562,470.03806,590.91527,-0.81971,4.6819,5.88587,6977.82852,0.00098,0.89884,6.28318,0.14532,6.24647,6.24639,0,129.4,-12.1,5,64,0,1,1
120,2457415.5,41528,6911.96976,563.55792,708.48386,-0.9828,4.66972,5.87052,6977.76434,0.00097,0.89883,6.28318,0.17444,6.23906,6.23898,0,127.5,-11.9,6,64.7,0,1,1
140,2457415.5,41548,6890.68673,656.81215,825.71767,-1.14542,4.65534,5.8524,6977.68984,0.00096,0.89883,6.28318,0.2036,6.23162,6.23152,0,125.6,-11.7,6.9,65.4,0,1,1
160,2457415.5,41568,6866.15662,749.75681,942.56131,-1.30749,4.63876,5.83151,6977.60526,0.00095,0.89883,6.28318,0.23282,6.22412,6.22401,0,123.7,-11.6,7.9,66.1,0,1,1
180,2457415.5,41588,6838.3911,842.34812,1058.9596,-1.46895,4.62,5.80786,6977.51082,0.00094,0.89882,6.28318,0.26211,6.21655,6.21643,0,121.8,-11.4,8.9,66.9,0,1,1
200,2457415.5,41608,6807.40335,934.54247,1174.85754,-1.62971,4.59907,5.78148,6977.40675,0.00093,0.89882,6.28318,0.29148,6.2089,6.20877,0,119.9,-11.3,9.9,67.6,0,1,1
220,2457415.5,41628,6773.20806,1026.29642,1290.20042,-1.78969,4.57597,5.75236,6977.2933,0.00091,0.89881,6.28318,0.32094,6.20115,6.201,0,117.9,-11.3,10.8,68.3,0,1,1
240,2457415.5,41648,6735.82146,1117.56677,1404.93375,-1.94882,4.55071,5.72052,6977.17069,0.0009,0.8988,6.28318,0.35053,6.19329,6.19313,0,116,-11.2,11.8,69,0,1,1
260,2457415.5,41668,6695.2613,1208.31054,1519.00337,-2.10703,4.52331,5.68599,6977.03916,0.00088,0.8988,6.28317,0.38025,6.18529,6.18511,0,114,-11.2,12.7,69.7,0,1,1
280,2457415.5,41688,6651.5468,1298.485,1632.35541,-2.26424,4.49378,5.64877,6976.89897,0.00086,0.89879,6.28317,0.41013,6.17712,6.17694,0,112,-11.2,13.7,70.5,0,1,1
300,2457415.5,41708,6604.6987,1388.0477,1744.93637,-2.42038,4.46214,5.60888,6976.75036,0.00084,0.89878,6.28317,0.44019,6.16878,6.16858,0,110.1,-11.2,14.7,71.2,0,1,1
320,2457415.5,41728,6554.73922,1476.95648,1856.69311,-2.57537,4.42839,5.56635,6976.59358,0.00082,0.89877,6.28316,0.47047,6.16022,6.16001,0,108.1,-11.2,15.6,71.9,0,1,1
340,2457415.5,41748,6501.69204,1565.16949,1967.57288,-2.72914,4.39256,5.52119,6976.42887,0.0008,0.89876,6.28316,0.50099,6.15141,6.1512,0,106.2,-11.3,16.6,72.7,0,1,1
360,2457415.5,41768,6445.5823,1652.64522,2077.52337,-2.88161,4.35467,5.47343,6976.25645,0.00078,0.89875,6.28315,0.53179,6.14232,6.1421,0,104.2,-11.4,17.5,73.5,0,1,1
380,2457415.5,41788,6386.43659,1739.34252,2186.49268,-3.03272,4.31472,5.42308,6976.07656,0.00076,0.89874,6.28315,0.56291,6.13291,6.13269,0,102.3,-11.5,18.5,74.2,0,1,1
400,2457415.5,41808,6324.28294,1825.22058,2294.42943,-3.1824,4.27275,5.37017,6975.88945,0.00074,0.89873,6.28314,0.5944,6.12315,6.12291,0,100.4,-11.6,19.4,75,0,1,1
420,2457415.5,41828,6259.1508,1910.23903,2401.28269,-3.33056,4.22876,5.31473,6975.69539,0.00071,0.89872,6.28314,0.62629,6.11297,6.11273,0,98.5,-11.8,20.3,75.8,0,1,1
440,2457415.5,41848,6191.07101,1994.35787,2507.00207,-3.47715,4.18279,5.25679,6975.49467,0.00069,0.89871,6.28313,0.65864,6.10233,6.10208,0,96.6,-12,21.3,76.6,0,1,1
460,2457415.5,41868,6120.07583,2077.53756,2611.53773,-3.62209,4.13485,5.19637,6975.2876,0.00066,0.8987,6.28312,0.69152,6.09117,6.09092,0,94.8,-12.2,22.2,77.4,0,1,1
480,2457415.5,41888,6046.19888,2159.73898,2714.84037,-3.76531,4.08497,5.13349,6975.07456,0.00063,0.89869,6.28311,0.72497,6.07942,6.07917,0,92.9,-12.4,23.1,78.2,0,1,1
500,2457415.5,41908,5969.47513,2240.92351,2816.86132,-3.90676,4.03317,5.0682,6974.85598,0.00061,0.89867,6.2831,0.75909,6.06702,6.06676,0,91.1,-12.6,24,79.1,0,1,1
520,2457415.5,41928,5889.94092,2321.05299,2917.5525,-4.04635,3.97947,5.00052,6974.63242,0.00058,0.89866,6.28309,0.79396,6.05386,6.0536,0,89.3,-12.9,25,79.9,0,1,1
540,2457415.5,41948,5807.63387,2400.08979,3016.86648,-4.18403,3.9239,4.93049,6974.40453,0.00055,0.89865,6.28308,0.82969,6.03984,6.03958,0,87.6,-13.1,25.9,80.8,0,1,1
560,2457415.5,41968,5722.59295,2477.99678,3114.75647,-4.31973,3.86649,4.85813,6974.17293,0.00052,0.89863,6.28307,0.86646,6.02478,6.02452,0,85.9,-13.4,26.8,81.7,0,1,1
580,2457415.5,41988,5634.85837,2554.73737,3211.17638,-4.45338,3.80727,4.78348,6973.93806,0.00049,0.89862,6.28306,0.90451,6.00844,6.00817,0,84.2,-13.7,27.7,82.6,0,1,1
600,2457415.5,42008,5544.47162,2630.27554,3306.08083,-4.58493,3.74625,4.70659,6973.70009,0.00046,0.89861,6.28304,0.94418,5.99048,5.99021,0,82.5,-14.1,28.5,83.5,0,1,1
620,2457415.5,42028,5451.47544,2704.57582,3399.42513,-4.71432,3.68348,4.62748,6973.45897,0.00043,0.89859,6.28303,0.98588,5.97049,5.97023,0,80.9,-14.4,29.4,84.4,0,1,1
640,2457415.5,42048,5355.9138,2777.60334,3491.16534,-4.84147,3.61898,4.54619,6973.2147,0.0004,0.89858,6.28302,1.03009,5.94799,5.94772,0,79.3,-14.8,30.3,85.3,0,1,1
660,2457415.5,42068,5257.83185,2849.32384,3581.2583,-4.96634,3.55279,4.46276,6972.96751,0.00037,0.89857,6.283,1.07742,5.92237,5.92211,0,77.8,-15.1,31.1,86.3,0,1,1
680,2457415.5,42088,5157.27597,2919.70367,3669.66162,-5.08886,3.48492,4.37723,6972.71789,0.00034,0.89855,6.28298,1.12865,5.89284,5.89258,0,76.3,-15.5,32,87.3,0,1,1
700,2457415.5,42108,5054.29367,2988.70983,3756.33373,-5.20897,3.41542,4.28964,6972.4665,0.0003,0.89854,6.28297,1.18491,5.85829,5.85803,0,74.8,-15.9,32.8,88.3,0,1,1
720,2457415.5,42128,4948.9336,3056.30998,3841.23386,-5.32662,3.34433,4.20004,6972.21401,0.00027,0.89852,6.28295,1.24781,5.81709,5.81684,0,73.3,-16.3,33.7,89.3,0,1,1
740,2457415.5,42148,4841.24554,3122.47243,3924.32213,-5.44176,3.27166,4.10846,6971.96112,0.00024,0.89851,6.28293,1.31979,5.76682,5.76658,0,71.9,-16.7,34.5,90.3,0,1,1
760,2457415.5,42168,4731.28032,3187.16619,4005.55949,-5.55433,3.19746,4.01496,6971.7085,0.00021,0.89849,6.28291,1.40455,5.70376,5.70353,0,70.5,-17.1,35.3,91.4,0,1,1
780,2457415.5,42188,4619.08988,3250.36097,4084.90778,-5.66427,3.12177,3.91956,6971.45685,0.00018,0.89848,6.28289,1.50796,5.62205,5.62183,0,69.1,-17.6,36.1,92.5,0,1,1
800,2457415.5,42208,4504.72716,3312.02717,4162.32975,-5.77155,3.04461,3.82233,6971.20687,0.00015,0.89846,6.28287,1.63955,5.51217,5.51195,0,67.8,-18,36.9,93.6,0,1,1
820,2457415.5,42228,4388.24612,3372.13593,4237.78906,-5.8761,2.96603,3.7233,6970.95921,0.00013,0.89845,6.28285,1.81478,5.35864,5.35844,0,66.5,-18.4,37.7,94.7,0,1,1
840,2457415.5,42248,4269.7017,3430.65912,4311.25029,-5.97788,2.88606,3.62253,6970.71446,0.0001,0.89844,6.28282,2.0564,5.13872,5.13853,0,65.3,-18.9,38.4,95.9,0,1,1
860,2457415.5,42268,4149.1498,3487.56936,4382.67897,-6.07684,2.80474,3.52006,6970.47309,0.00009,0.89842,6.2828,2.38522,4.8316,4.83142,0,64,-19.4,39.2,97.1,0,1,1
880,2457415.5,42288,4026.64726,3542.84004,4452.04162,-6.17293,2.72211,3.41594,6970.23557,0.00009,0.89841,6.28278,2.78194,4.45658,4.45642,0,62.8,-19.8,39.9,98.3,0,1,1
900,2457415.5,42308,3902.25183,3596.44529,4519.3057,-6.26612,2.63821,3.31021,6970.00236,0.00009,0.8984,6.28275,3.16393,4.09629,4.09614,0,61.6,-20.3,40.7,99.5,0,1,1
920,2457415.5,42328,3776.0221,3648.36006,4584.43967,-6.35636,2.55307,3.20293,6969.77395,0.00011,0.89838,6.28273,3.4646,3.81732,3.81718,0,60.5,-20.8,41.4,100.8,0,1,1
940,2457415.5,42348,3648.01756,3698.56008,4647.41302,-6.4436,2.46674,3.09416,6969.55079,0.00013,0.89837,6.2827,3.68277,3.62084,3.62072,0,59.4,-21.3,42.1,102.1,0,1,1
960,2457415.5,42368,3518.29849,3747.02189,4708.19624,-6.5278,2.37925,2.98393,6969.33328,0.00015,0.89836,6.28267,3.84239,3.48291,3.48281,0,58.3,-21.8,42.7,103.4,0,1,1
980,2457415.5,42388,3386.92597,3793.72285,4766.76084,-6.60893,2.29066,2.8723,6969.12173,0.00018,0.89834,6.28264,3.96411,3.3829,3.38281,0,57.2,-22.3,43.4,104.8,0,1,1
1000,2457415.5,42408,3253.96185,3838.64114,4823.0794,-6.68696,2.20099,2.75933,6968.91647,0.00021,0.89833,6.28262,4.06129,3.30741,3.30734,0,56.1,-22.8,44,106.2,0,1,1
1020,2457415.5,42428,3119.46871,3881.75578,4877.12553,-6.76183,2.1103,2.64507,6968.71783,0.00023,0.89832,6.28259,4.14215,3.24825,3.2482,0,55.1,-23.3,44.6,107.6,0,1,1
1040,2457415.5,42448,2983.50986,3923.04664,4928.87394,-6.83352,2.01862,2.52957,6968.52614,0.00026,0.89831,6.28256,4.21177,3.20032,3.20029,0,54.1,-23.8,45.2,109.1,0,1,1
