Temperature,shock,input_voltage
35,18,3.3
40,2,3.3
44,28,3.3
44,5,3.3
44,21,3.3
44,14,3.3
44,4,3.3
44,25,3.3
44,2,3.3
44,20,3.3
44,27,3.3
44,13,3.3
44,1,3.3
55,26,3.3
38,25,3.3
33,27,3.3
61,18,3.3
53,1,3.3
18,6,3.3
69,20,3.3
63,16,3.3
32,27,3.3
38,16,3.3
20,1,3.3
43,11,3.3
16,27,3.3
49,27,3.3
42,6,3.3
61,15,3.3
34,2,3.3
35,2,3.3
39,21,3.3
13,4,3.3
49,23,3.3
53,17,3.3
13,1,3.3
57,28,3.3
24,27,3.3
10,6,3.3
48,29,3.3
66,20,3.3
66,16,3.3
48,23,3.3
48,19,3.3
24,2,3.3
23,5,3.3
12,22,3.3
44,24,3.3
26,24,3.3
14,16,3.3
35,4,3.3
51,29,3.3
38,1,3.3
10,2,3.3
21,14,3.3
50,27,3.3
69,2,3.3
39,26,3.3
25,27,3.3
11,28,3.3
54,8,3.3
59,23,3.3
13,13,3.3
46,5,3.3
70,4,3.3
48,12,3.3
23,13,3.3
49,22,3.3
38,18,3.3
11,14,3.3
12,3,3.3
68,16,3.3
70,2,3.3
45,7,3.3
14,25,3.3
66,23,3.3
35,4,3.3
66,10,3.3
70,1,3.3
45,27,3.3
17,5,3.3
44,17,3.3
20,4,3.3
20,17,3.3
14,17,3.3
59,2,3.3
14,19,3.3
59,21,3.3
46,25,3.3
49,17,3.3
52,17,3.3
39,7,3.3
24,8,3.3
17,20,3.3
39,15,3.3
62,11,3.3
62,21,3.3
39,17,3.3
37,17,3.3
37,4,3.3
20,9,3.3
48,23,3.3
35,24,3.3
21,23,3.3
59,9,3.3
43,29,3.3
59,24,3.3
24,29,3.3
21,8,3.3
57,26,3.3
55,1,3.3
39,21,3.3
34,12,3.3
27,14,3.3
41,10,3.3
55,13,3.3
41,11,3.3
26,27,3.3
61,27,3.3
50,29,3.3
64,25,3.3
53,12,3.3
60,8,3.3
64,25,3.3
58,23,3.3
22,12,3.3
55,16,3.3
42,11,3.3
57,11,3.3
36,9,3.3
32,16,3.3
43,26,3.3
47,17,3.3
29,20,3.3
47,29,3.3
38,7,3.3
57,1,3.3
55,23,3.3
20,25,3.3
57,29,3.3
20,23,3.3
