Temperature,Voltage
47,5
38,5
26,5
30,5
44,5
40,5
29,5
31,5
30,5
25,5.1
32,5.1
32,5.1
41,5.1
31,5.1
46,5.1
31,5.1
39,5.1
27,5.1
43,5.1
40,5.1
33,5.1
27,5
41,5
39,5
48,5
35,5
26,5
45,5
32,5
38,5
36,5
35,5.3
36,5.3
47,5.3
37,5.3
34,5.3
26,5.3
37,5.3
47,5.3
41,5.3
26,5.3
28,5.3
25,5.5
35,5.5
42,5.5
47,5.5
42,5.5
40,5.5
36,5.5
28,5.5
25,5.5
47,5.5
31,5.5
37,5.5
26,5.5
45,5.5
36,5.5
34,5.5
45,5.5
31,5.5
46,5.5
31,5.5
39,5.5
32,5.5
31,5.5
39,5.5
41,5.5
47,5.1
32,5.1
34,5.1
30,5.1
38,5.1
48,5.1
26,5.1
38,5.1
39,5.1
29,5.1
44,5.1
31,5.1
37,5.1
42,5.2
34,5.2
47,5.2
28,5.2
45,5.2
44,5.2
45,5.2
31,5.2
43,5.2
36,5.2
34,5.2
29,5.2
25,5.2
43,5.2
39,5.2
32,5.2
27,5.2
48,5.2
47,5.2
41,5.2
46,5.2
36,5.2
34,5.2
45,5.2
31,5.2
41,5.2
30,5.2
35,5.2
31,5.2
48,5.2
31,5.2
38,5.2
32,5.2
27,5.2
38,5.2
34,5.2
39,5.2
39,5.2
36,5.2
45,5.2
25,5.2
43,5.2
39,5.2
42,5.2
31,5.2
25,5.2
48,5.2
37,5.2
34,5.2
48,5.2
39,5.2
27,5.2
41,5.2
28,5.2
26,5.2
42,5.2
47,5.2
28,5.2
32,5.2
38,5.2
31,5.2
37,5.2
33,5.2
38,5.2
45,5.2
28,5.2
25,5.2
47,5.2
36,5.2
41,5.2
29,5.2
32,5.2
35,5.2
30,5.2
45,5.2
25,5.2
38,5.2
43,5.2
29,5.2
39,5.2
43,5.2
37,5.2
46,5.2
28,5.2
44,5.2
33,5.2
34,5.2
25,5.2
47,5.2
35,5.2
35,5.2
41,5.2
31,5.2
29,5.2
28,5.2
30,5.2
39,5.2
46,5.2
48,5.2
46,5.2
42,5.2
33,5.2
42,5.2
36,5.2
45,5.2
34,5.2
41,5.2
35,5.2
40,5.2
40,5.2
34,5.2
25,5.2
47,5.2
47,5.2
32,5.2
34,5.2
35,5.2
33,5.2
45,5.2
32,5.2
33,5.2
41,5.2
25,5.2
39,5.2
47,5.2
39,5.1
25,5.1
40,5.1
29,5.1
38,5.1
25,5.1
33,5.1
44,5.1
41,5.1
30,5.1
48,5.1
36,5.1
47,5.1
37,5.1
38,5.1
30,5.1
31,5.1
31,5.1
35,5.1
40,5.1
47,5.1
42,5.1
38,5.1
37,5.1
32,5.1
35,5.1
45,5.1
39,5.1
46,5.1
48,5.1
45,5.1
27,5.1
38,5.1
46,5.1
35,5.1
25,5.1
47,5.1
31,5.1
28,5.1
29,5.1
38,5.1
47,5.1
41,5.1
25,5.1
36,5.1
35,5.1
41,5.1
38,5.1
30,5.1
27,5.1
47,5.1
38,5.1
28,5.1
48,5.1
41,5.1
29,5.1
39,5.1
40,5.1
40,5.1
26,5.1
46,5.1
25,5.1
30,5.1
34,5.1
41,5.1
40,5.1
30,5.1
39,5
48,5
28,5
32,5
31,5
38,5
27,5
39,5
26,5
30,5
38,5
46,5
30,5
43,5
40,5
26,5
32,5
47,5
43,5
42,5
25,5
47,5
37,5
44,5
42,5
26,5
26,5
29,5
48,5
29,5
33,5
31,5
40,5
41,5
33,5
41,5
25,5
32,5
31,5
31,5
44,5
37,5
46,5
47,5
41,5
29,5
29,5
46,5
29,5
42,5
33,5
28,5
32,5
28,5
27,5
33,5
37,5
43,5
30,5
35,5
35,5
39,5
33,5
35,5
33,5
26,5
29,5
43,5
35,5
27,5
25,5
40,5
45,5
27,5
43,5
40,5
26,5
42,5
40,5
42,5
48,5
47,5
28,5
44,5
32,5
26,5
33,5
46,5
37,5
28,5
33,5
41,5
46,5
38,5
48,5
32,5
38,5
28,5
39,5
43,5
47,5
41,5
47,5
44,5
33,5
28,5
25,5
31,5
48,5
30,5
41,5
41,5
34,5
31,5
41,5
28,5
38,5
30,5
31,5
47,5
35,5
25,5
34,5
42,5
47,5
34,5
36,5
29,5
40,5
26,5
48,5
27,5
33,5
28,5
27,5
31,5
46,5
35,5
41,5
29,5
30,5
45,5
25,5
33,5
38,5
36,5
28,5
45,5
45,5
39,5
44,5
30,5
42,5
32,5
47,5
47,5
47,5
28,5
25,5
32,5
46,5
39,5
41,5
28,5
28,5
37,5
26,5
25,5
48,5.3
35,5.3
47,5.3
38,5.3
36,5.3
33,5.3
38,5.3
28,5.3
45,5.3
40,5.3
27,5.3
47,5.3
37,5.3
30,5.3
26,5.3
47,5.3
26,5.3
47,5.3
39,5.3
42,5.3
35,5.3
28,5.3
40,5.3
34,5.3
25,5.3
37,5.3
25,5.3
39,5.3
42,5.3
40,5.3
28,5.3
35,5.3
31,5.3
42,5.3
26,5.3
35,5.3
37,5.3
25,5.3
42,5.3
27,5.3
48,5.3
37,5.3
30,5.3
29,5.3
30,5.3
35,5.3
44,5.3
40,5.3
37,5.3
36,5.3
25,5.3
32,5.3
40,5.3
33,5.3
41,5.3
48,5.3
40,5.3
45,5.3
45,5.3
37,5.3
