Temperature,Voltage
43,4.5
42,4.5
25,4.5
32,4.5
45,4.5
33,4.5
37,4.5
45,4.5
46,4.5
29,4.5
48,4.5
34,4.5
46,4.5
27,4.5
37,4.5
36,4.5
30,4.5
48,4.5
47,4.8
34,4.8
41,4.8
29,4.8
42,4.8
29,4.8
32,4.8
40,4.8
47,4.8
30,4.8
35,4.8
46,4.8
33,4.8
34,4.8
31,4.8
44,4.8
43,4.8
39,4.8
27,4.8
43,4.8
42,4.8
25,4.8
48,4.8
32,4.8
38,4.8
37,4.8
44,4.8
28,4.8
25,4.8
48,4.8
32,4.8
25,4.8
45,4.8
47,4.8
40,4.8
29,4.8
29,4.8
36,4.8
31,4.8
32,4.8
37,4.8
42,4.8
40,4.8
37,4.8
31,4.8
30,4.8
28,4.8
41,4.8
32,4.8
36,4.8
36,4.8
33,4.8
46,4.8
29,4.8
26,4.8
44,4.8
26,4.8
32,5.2
42,5.2
33,5.2
35,5.2
37,5.2
31,5
36,5
34,5
33,5
25,5
44,5
42,5
42,5
44,5
30,5
33,5
42,5
41,5
42,5
44,5
37,5
47,5
39,5
34,5
47,5
35,5
35,5
28,5
27,5
26,5
28,5
46,5
42,5
47,5
40,5
26,5
42,5
28,5
44,5
34,5
36,5
39,5
47,5
31,5
39,5
31,5
43,5
44,5
41,5
46,5
48,5
46,5
38,5
38,5
25,5
38,5
48,5
45,5
45,5
47,5
29,5
40,5
30,5
45,5
44,5
47,5
28,5
33,5
42,5
46,5
25,5
39,5
25,5
40,5
40,5
27,5
35,5
25,5
40,5
33,5
31,5
48,5
40,5
47,5
47,5
48,5
29,5
27,5
40,5
30,5
45,5
33,5
44,5
45,5
33,5
42,5
25,5
31,5
39,5
33,5
43,5
33,5
45,5
37,5
25,5
41,5
33,5
36,5
44,5
33,5
33,5
43,5
36,5
41,5
46,5
41,5
29,5
41,5
34,5
28,5
47,5
36,5
40,5
39,5
46,5
38,5
46,5
34,5
39,5
35,5
37,5
47,5
34,5
25,5
27,5.2
42,5.2
40,5.2
34,5.2
31,5.2
26,5.2
31,5.2
39,5.2
34,5.2
33,5.2
33,5.2
38,5.2
25,5.2
45,5.2
43,5.2
39,5.2
27,5.2
38,5.2
34,5.2
32,5.2
36,5.2
26,5.2
35,5.2
34,5.2
44,5.2
29,5.2
40,5.2
44,5.2
48,5.2
47,5.2
45,5.2
30,5.2
35,5.2
45,5.2
26,5.2
48,5.2
26,5.2
35,5.2
36,5.2
47,5.2
31,5.2
31,5.2
48,5.2
48,5.2
48,5.2
31,5.2
26,5.2
27,5.2
40,5.2
39,5.2
36,5.2
33,5.2
41,5.2
36,5.2
41,5.2
45,5.2
29,5.2
29,5.2
35,5.2
40,5.2
48,5.2
31,5.2
30,5.2
35,5.2
41,5.2
29,5.2
48,5.2
42,5.2
43,5.2
42,5.2
25,5.2
41,5.2
27,5.2
26,5.2
35,5.2
37,5.2
34,5.2
37,5.2
44,5.2
40,5.2
34,5.2
29,5.2
32,5.2
44,5.2
32,5.2
36,5.2
27,5.2
29,5.2
48,5.2
46,5.2
26,5.2
46,5.2
29,5.2
28,5.2
48,5.2
46,5.2
36,5.2
30,5.2
39,5.2
25,5.2
25,5.2
27,5.2
25,5.2
28,5.2
45,5.2
41,5.2
34,5.2
29,5.2
38,5.2
29,5.2
32,5.2
33,5.2
40,5.2
36,5.2
40,5.2
28,5.2
26,5.2
38,5.2
29,5.2
27,5.2
39,5.4
38,5.4
28,5.4
34,5.4
44,5.4
25,5.4
33,5.4
38,5.4
36,5.4
42,5.4
37,5.4
44,5.4
45,5.4
45,5.4
37,5.4
25,5.4
41,5.4
39,5.4
30,5.4
29,5.4
33,5.4
28,5.4
42,5.4
48,5.4
29,5.4
36,5.4
45,5.4
42,5.4
42,5.4
41,5.4
25,5.4
42,5.4
39,5.4
28,5.4
31,5.4
32,5.4
28,5.4
39,5.4
36,5.4
45,5.4
30,5.4
25,5.4
43,5.4
35,5.4
25,5.4
33,5.4
44,5.4
39,5.4
31,5.4
45,5.4
37,5.4
37,5.4
30,5.4
34,5.4
42,5.4
45,5.4
37,5.4
43,5.4
43,5.4
32,5.4
39,5.4
35,5.4
40,5.4
32,5.4
39,5.4
46,5.4
41,5.4
33,5.4
45,5.4
25,5.4
42,5.4
44,5.4
36,5.4
43,5.4
35,5.4
25,5.4
34,5.4
46,5.4
46,5.4
40,5.4
42,5.4
44,5.4
29,5.4
35,5.4
29,5.4
28,5.4
40,5.4
31,5.4
40,5.4
26,5.4
36,5.4
27,5.4
40,5.4
36,5.4
37,5.4
40,5.4
38,5.4
46,5.4
38,5.4
26,5.4
48,5.4
29,5.4
43,5.4
26,5.4
30,5.4
43,5.4
48,5.4
44,5.4
32,5.4
46,5.4
46,5.4
45,5.4
36,5.4
29,5.4
45,5.4
32,5.4
42,5.4
45,5.4
35,5.4
38,5.4
36,5.4
35,5.4
34,5.4
43,5.4
45,5.4
26,5.4
27,5.4
37,5.4
35,5.4
35,5.4
34,5.4
29,5.4
29,5.4
28,5.4
25,5.4
28,5.4
27,5.4
38,5.4
31,5.4
30,5.4
29,5.4
34,5.4
43,5.4
43,5.4
33,5.4
35,5.4
35,5.4
45,5.4
43,5.4
29,5.4
29,5.4
34,5.4
30,5.4
25,5.4
33,5.4
34,5.4
47,5.4
33,5.4
27,5.4
35,5.4
27,5.4
36,5.4
31,5.4
36,5.4
30,5.4
33,5.4
37,5.4
33,5.4
42,5.4
48,5.4
31,5.4
